		// ICEBREAKER //----------------------------------------------------------------------------------------------
			"npc_dota_hero_riki"											"ICEBREAKER"

			//BASICS
				"talent_tree_column_icebreaker_1__frost_title"        	   		"Frost Attack"
				"talent_tree_column_icebreaker_2__wave_title"            			"Freezing Gust"
				"talent_tree_column_icebreaker_3__skin_title"            		  "Ice Armor"
				"talent_tree_column_icebreaker_4__shivas_title"            		"Deep Freeze"
				"talent_tree_column_icebreaker_5__blink_title"            		"Blink'n'Break"
				"talent_tree_column_icebreaker_u__zero_title"            		  "Absolute Zero"

			//SK1
				"DOTA_Tooltip_ability_icebreaker_1__frost"								"Frost Attack"
				"DOTA_Tooltip_ability_icebreaker_1__frost_Description"		"Each basic attack has a chance to inflict hypothermia on the enemy."
				"DOTA_Tooltip_ability_icebreaker_1__frost_chance"					"%CHANCE:"
				"DOTA_Tooltip_ability_icebreaker_1__frost_rank"						"RANK LEVEL:"
				"DOTA_Tooltip_ability_icebreaker_1__frost_special_hits"			          "<font color='#d2b579'>TRUE STRIKE HITS:</font>"
				"DOTA_Tooltip_ability_icebreaker_1__frost_special_ms"			            "<font color='#d2b579'>BONUS MOVESPEED:</font>"
				"DOTA_Tooltip_ability_icebreaker_1__frost_special_invi_delay"	        "<font color='#d2b579'>DELAY TO INVISIBILITY:</font>"
				"DOTA_Tooltip_ability_icebreaker_1__frost_special_bonus_damage"	      "<font color='#d2b579'>BONUS DAMAGE:</font>"
				"DOTA_Tooltip_ability_icebreaker_1__frost_special_mini_freeze_chance"	"%<font color='#d2b579'>MINI-FREEZE CHANCE:</font>"
				"DOTA_Tooltip_ability_icebreaker_1__frost_special_blink_chance"       "%<font color='#d2b579'>BLINK CHANCE:</font>"

				"DOTA_Tooltip_ability_icebreaker_1__frost_rank_11_Description"	"+20% Chance. -1% per level."
				"DOTA_Tooltip_ability_icebreaker_1__frost_rank_12_Description"	"-10% Chance. Active to increase chance to 100% for the next 5 hits. <br>CD: 15. +1.5 CD per level."
				"DOTA_Tooltip_ability_icebreaker_1__frost_rank_21_Description"	"+50 Bonus movespeed."
				"DOTA_Tooltip_ability_icebreaker_1__frost_rank_22_Description"	"Becomes invisible after 5 seconds without attacking / get attacked."
				"DOTA_Tooltip_ability_icebreaker_1__frost_rank_31_Description"	"+40 Bonus magical damage on frost attack."
				"DOTA_Tooltip_ability_icebreaker_1__frost_rank_32_Description"	"50% Chance to freeze the target for 0.5 seconds on frost attack."
				"DOTA_Tooltip_ability_icebreaker_1__frost_rank_41_Description"	"+25% chance to auto-blink behind the target on frost attack leaving a copy."
				"DOTA_Tooltip_ability_icebreaker_1__frost_rank_42_Description"	"Add cleave to frost attacks."
        
      //SK2
				"DOTA_Tooltip_ability_icebreaker_2__wave"									"Freezing Gust"
				"DOTA_Tooltip_ability_icebreaker_2__wave_Description"			"Casts an icy breath inflicting hypothermia on enemies. Recharges ability by attacking."
				"DOTA_Tooltip_ability_icebreaker_2__wave_hypo_stack_min"	"MIN STACK APPLIED:"
				"DOTA_Tooltip_ability_icebreaker_2__wave_hypo_stack_max"	"MAX STACK APPLIED:"
				"DOTA_Tooltip_ability_icebreaker_2__wave_recharge"				"HITS TO RECHARGE:"
				"DOTA_Tooltip_ability_icebreaker_2__wave_radius"					"RADIUS:"
				"DOTA_Tooltip_ability_icebreaker_2__wave_distance"				"DISTANCE:"
				"DOTA_Tooltip_ability_icebreaker_2__wave_speed"						"SPEED:"
				"DOTA_Tooltip_ability_icebreaker_2__wave_rank"						"RANK LEVEL:"
				"DOTA_Tooltip_ability_icebreaker_2__wave_special_knockback_distance"  "<font color='#d2b579'>KNOCKBACK DISTANCE PER STACK:</font>"
				"DOTA_Tooltip_ability_icebreaker_2__wave_special_auto_charge"	        "<font color='#d2b579'>AUTO-RECHARGE INTERVALS:</font>"
				"DOTA_Tooltip_ability_icebreaker_2__wave_special_damage"        	    "%<font color='#d2b579'>MAX HP AS DAMAGE PER STACK:</font>"
				"DOTA_Tooltip_ability_icebreaker_2__wave_special_mana_burn"	          "%<font color='#d2b579'>MAX MP AS MANA BURN PER STACK:</font>"
				"DOTA_Tooltip_ability_icebreaker_2__wave_special_copy_chance"	        "%<font color='#d2b579'>COPY CREATION PER STACK:</font>"
				"DOTA_Tooltip_ability_icebreaker_2__wave_special_silence_duration"	  "<font color='#d2b579'>SILENCE DURATION PER STACK:</font>"

				"DOTA_Tooltip_ability_icebreaker_2__wave_rank_11_Description"	"Knockbacks enemies for [100 × stacks applied] distance."
				"DOTA_Tooltip_ability_icebreaker_2__wave_rank_12_Description"	"Reduces 1 recharge stack every 3 seconds after the last hit."
				"DOTA_Tooltip_ability_icebreaker_2__wave_rank_21_Description"	"+1 Min/Max stack applied. +25% Manacost."
				"DOTA_Tooltip_ability_icebreaker_2__wave_rank_22_Description"	"-3 Hits to recharge."
				"DOTA_Tooltip_ability_icebreaker_2__wave_rank_31_Description"	"Deals magical damage equals to [1.5 × stacks applied]% of target's max health."
				"DOTA_Tooltip_ability_icebreaker_2__wave_rank_32_Description"	"Burns mana equals to [5 × stacks applied]% of target's max mana."
				"DOTA_Tooltip_ability_icebreaker_2__wave_rank_41_Description"	"+[20 × stacks applied]% Chance to create a copy for each enemy hit."
				"DOTA_Tooltip_ability_icebreaker_2__wave_rank_42_Description"	"Silences for [1 × stacks applied] seconds."

      //SK3
				"DOTA_Tooltip_ability_icebreaker_3__skin"							  "Ice Armor"
				"DOTA_Tooltip_ability_icebreaker_3__skin_Description"   "Creates an ice armor to an ally that increases health regen and has a chance to inflict hypothermia on the attacker."
				"DOTA_Tooltip_ability_icebreaker_3__skin_duration"			"DURATION:"
				"DOTA_Tooltip_ability_icebreaker_3__skin_hp_regen"			"BONUS HEALTH REGEN:"
				"DOTA_Tooltip_ability_icebreaker_3__skin_chance"			  "%CHANCE:"
				"DOTA_Tooltip_ability_icebreaker_3__skin_cast_range"	  "CAST RANGE:"
				"DOTA_Tooltip_ability_icebreaker_3__skin_rank"					"RANK LEVEL:"
				"DOTA_Tooltip_ability_icebreaker_3__skin_special_mp_regen"      "<font color='#d2b579'>BONUS MP REGEN:</font>"
				"DOTA_Tooltip_ability_icebreaker_3__skin_special_hp_regen"      "<font color='#d2b579'>BONUS HP REGEN:</font>"
				"DOTA_Tooltip_ability_icebreaker_3__skin_special_spread_radius"	"<font color='#d2b579'>SPREAD RADIUS:</font>"
				"DOTA_Tooltip_ability_icebreaker_3__skin_special_spread_stack"	"<font color='#d2b579'>SPREAD STACK:</font>"

				"DOTA_Tooltip_ability_icebreaker_3__skin_rank_11_Description"	"-4 Cooldown."
				"DOTA_Tooltip_ability_icebreaker_3__skin_rank_12_Description"	"+6 Duration."
				"DOTA_Tooltip_ability_icebreaker_3__skin_rank_21_Description"	"+10 Bonus mana regen."
				"DOTA_Tooltip_ability_icebreaker_3__skin_rank_22_Description"	"+30 Bonus health regen."
				"DOTA_Tooltip_ability_icebreaker_3__skin_rank_31_Description"	"Blocks all physical and magical damage."
				"DOTA_Tooltip_ability_icebreaker_3__skin_rank_32_Description"	"Spreads hypothermia to enemies surrounding the target on barrier creation and destruction."
